============================================================
  GNN Results - CiteSeer_k2
  Generated: 2026-03-31 22:08:58
============================================================

Dataset Info
  Dataset       : CiteSeer
  Num graphs    : 1
  Num features  : 3703
  Num classes   : 6
  Num nodes     : 3327
  Num edges     : 9104

Model Config
  GNN layers (k): 2
  Hidden dim    : 128
  Epochs        : 3000
  LR            : 0.01
  Weight decay  : 5e-3
  Dropout       : 0.5

Best Results (by val loss)
  Best epoch    : 1100
  Train F1      : 0.9833
  Val   F1      : 0.5701
  Test  F1      : 0.5738

Training History (every 20 epochs)
   Epoch  Train Loss    Val Loss  Train F1    Val F1
     640      0.0137      1.9811    1.0000    0.5910
     660      0.0251      2.0886    1.0000    0.5389
     680      0.0317      1.7727    1.0000    0.5706
     700      0.0234      2.0407    1.0000    0.5797
     720      0.4137      2.7379    0.8698    0.4408
     740      0.0291      1.9249    0.9917    0.5815
     760      0.0224      1.8444    1.0000    0.5633
     780      0.0334      1.9601    0.9917    0.5599
     800      0.0180      1.9386    1.0000    0.5581
     820      0.0151      1.8608    1.0000    0.5730
     840      0.0372      1.8669    0.9917    0.5665
     860      0.0348      1.6851    1.0000    0.5622
     880      0.0211      1.7634    1.0000    0.5963
     900      0.0190      1.8814    1.0000    0.5950
     920      0.0275      2.0045    1.0000    0.5557
     940      0.0209      2.0212    1.0000    0.5664
     960      0.0216      1.9946    1.0000    0.5782
     980      0.0279      1.6845    1.0000    0.5654
    1000      0.0320      1.7347    1.0000    0.5893
    1020      0.0163      1.8119    1.0000    0.5906
    1040      0.0269      2.3206    1.0000    0.5297
    1060      0.0201      2.0795    1.0000    0.5561
    1080      0.0165      1.9513    1.0000    0.5604
    1100      0.1264      1.4601    0.9833    0.5701
    1120      0.0152      2.2507    1.0000    0.5490
    1140      0.0265      1.9655    1.0000    0.5653
    1160      0.0207      1.7642    1.0000    0.5772
    1180      0.0332      1.8156    0.9917    0.5689
    1200      0.0265      1.9179    1.0000    0.5600
    1220      0.0156      1.9877    1.0000    0.5758
    1240      0.0211      1.8460    1.0000    0.5689
    1260      0.0244      2.0708    1.0000    0.5590
    1280      0.0445      1.6932    1.0000    0.5752
    1300      0.0147      2.0276    1.0000    0.5718
    1320      0.0271      1.6943    1.0000    0.5612
    1340      0.0273      1.7075    1.0000    0.5796
    1360      0.0329      1.7709    0.9917    0.5562
    1380      0.0274      2.1070    1.0000    0.5326
    1400      0.1503      1.6070    0.9750    0.5671
    1420      0.0273      1.7720    1.0000    0.5710
    1440      0.0275      1.8839    0.9917    0.5918
    1460      0.0320      1.8745    1.0000    0.5665
    1480      0.0187      2.0523    1.0000    0.5768
    1500      0.0282      1.8106    1.0000    0.5630
    1520      0.0733      2.0292    0.9917    0.5489
    1540      0.0201      1.7263    1.0000    0.5843
    1560      0.0156      1.8078    1.0000    0.5814
    1580      0.0230      1.7066    1.0000    0.5733
    1600      0.0217      1.7635    1.0000    0.5715
    1620      0.2247      1.9756    0.9327    0.4783
    1640      0.0189      1.7963    1.0000    0.5978
    1660      0.1623      1.5609    0.9750    0.5568
    1680      0.0170      1.8510    1.0000    0.5692
    1700      0.0228      1.7343    1.0000    0.5555
    1720      0.0296      2.0766    0.9917    0.5754
    1740      0.0156      1.7579    1.0000    0.5717
    1760      0.0267      1.9072    1.0000    0.5725
    1780      0.0174      1.7728    1.0000    0.5730
    1800      0.0199      1.6753    1.0000    0.5725
    1820      0.0167      1.7582    1.0000    0.5931
    1840      0.0221      1.6910    1.0000    0.5988
    1860      0.0363      1.8198    0.9917    0.5726
    1880      0.0151      1.8560    1.0000    0.5738
    1900      0.1087      2.2612    0.9745    0.5159
    1920      0.0242      1.8326    1.0000    0.5918
    1940      0.0756      1.8249    0.9917    0.5555
    1960      0.0293      1.5648    1.0000    0.5895
    1980      0.0210      2.0167    1.0000    0.5631
    2000      0.0245      1.8653    1.0000    0.5747
    2020      0.0366      2.0709    0.9917    0.5671
    2040      0.0173      2.0566    1.0000    0.5841
    2060      0.0418      1.8842    0.9917    0.5640
    2080      0.0233      1.8120    1.0000    0.5716
    2100      0.0222      1.7894    1.0000    0.5883
    2120      0.0209      1.6916    1.0000    0.6064
    2140      0.2323      1.7366    0.9504    0.5543
    2160      0.0179      2.0325    1.0000    0.5943
    2180      0.0260      1.8540    1.0000    0.5994
    2200      0.0202      1.7042    1.0000    0.5810
    2220      0.0204      1.7350    1.0000    0.5755
    2240      0.0205      1.7538    1.0000    0.5591
    2260      0.0482      1.6243    0.9917    0.5675
    2280      0.0158      1.9007    1.0000    0.5759
    2300      0.0339      1.7084    1.0000    0.5758
    2320      0.0177      1.7653    1.0000    0.6119
    2340      0.0150      1.6536    1.0000    0.5947
    2360      0.2206      1.8963    0.9753    0.5224
    2380      0.0431      2.3214    1.0000    0.5430
    2400      0.0154      1.8843    1.0000    0.6038
    2420      0.0283      1.7329    0.9917    0.5778
    2440      0.0262      1.8833    1.0000    0.6042
    2460      0.0280      1.9292    1.0000    0.5647
    2480      0.0254      1.6884    0.9917    0.5885
    2500      0.1288      1.7792    0.9750    0.5506
    2520      0.0090      2.4491    1.0000    0.5845
    2540      0.0454      1.8562    0.9917    0.5496
    2560      0.0186      1.8367    1.0000    0.5729
    2580      0.0168      1.9050    1.0000    0.5766
    2600      0.0209      1.8322    1.0000    0.5747
    2620      0.0258      1.9138    1.0000    0.5679
    2640      0.0196      2.0877    1.0000    0.5519
    2660      0.1977      1.9623    0.9412    0.5282
    2680      0.0271      1.9360    1.0000    0.5884
    2700      0.0287      1.7955    0.9917    0.5842
    2720      0.0467      1.8134    0.9917    0.5671
    2740      0.0153      1.9011    1.0000    0.5852
    2760      0.0200      1.8307    1.0000    0.5773
    2780      0.0137      1.8868    1.0000    0.5913
    2800      0.0317      1.8905    1.0000    0.5623
    2820      0.0148      1.9421    1.0000    0.5816
    2840      0.0271      1.6196    1.0000    0.5927
    2860      0.0245      1.9989    1.0000    0.5650
    2880      0.0596      1.8745    0.9917    0.5659
    2900      0.0182      1.8780    1.0000    0.5524
    2920      0.0334      1.9444    0.9917    0.5351
    2940      0.0473      2.1247    0.9917    0.5294
    2960      0.0208      2.2384    1.0000    0.5521
    2980      0.0294      2.1242    1.0000    0.5823
    3000      0.0174      1.9155    1.0000    0.5801
