timestamp,dataset,k,best_epoch,train_f1,val_f1,test_f1
2026-03-31 22:07:40,Cora,2,840,1.0000,0.7298,0.7257
2026-03-31 22:08:58,CiteSeer,2,1100,0.9833,0.5701,0.5738
