============================================================
  GNN Results - Cora_k2
  Generated: 2026-03-31 22:07:40
============================================================

Dataset Info
  Dataset       : Cora
  Num graphs    : 1
  Num features  : 1433
  Num classes   : 7
  Num nodes     : 2708
  Num edges     : 10556

Model Config
  GNN layers (k): 2
  Hidden dim    : 128
  Epochs        : 3000
  LR            : 0.01
  Weight decay  : 5e-3
  Dropout       : 0.5

Best Results (by val loss)
  Best epoch    : 840
  Train F1      : 1.0000
  Val   F1      : 0.7298
  Test  F1      : 0.7257

Training History (every 20 epochs)
   Epoch  Train Loss    Val Loss  Train F1    Val F1
    2460      0.0008      2.4432    1.0000    0.7064
    2480      0.0006      2.4732    1.0000    0.7200
    2500      0.0247      2.1960    0.9929    0.6290
    2520      0.0077      3.7206    1.0000    0.6905
    2540      0.0004      4.5087    1.0000    0.7022
    2560      0.0009      3.0671    1.0000    0.7049
    2580      0.0098      2.8513    0.9929    0.6903
    2600      0.0004      2.7008    1.0000    0.7091
    2620      0.0022      2.6801    1.0000    0.7066
    2640      0.0010      2.6595    1.0000    0.7176
    2660      0.0044      2.8257    1.0000    0.6913
    2680      0.0025      2.4767    1.0000    0.6864
    2700      0.0044      2.7517    1.0000    0.6988
    2720      0.0008      2.5314    1.0000    0.6955
    2740      0.0013      2.6287    1.0000    0.7111
    2760      0.0020      2.5852    1.0000    0.6986
    2780      0.0032      2.6728    1.0000    0.7275
    2800      0.0023      2.6956    1.0000    0.7064
    2820      0.0060      3.4685    1.0000    0.6911
    2840      0.0001      3.5041    1.0000    0.6864
    2860      0.0005      4.0200    1.0000    0.7157
    2880      0.0091      4.2884    1.0000    0.6768
    2900      0.0358      4.9693    1.0000    0.6050
    2920      0.0007      3.9682    1.0000    0.7029
    2940      0.0004      3.6930    1.0000    0.7120
    2960      0.0008      3.4823    1.0000    0.6947
    2980      0.0003      3.0258    1.0000    0.7282
    3000      0.1331      3.6449    0.9704    0.6793
